id,timestamp,x,y,z
-O3hDAs1DiOT0S0muFeo,2024-08-08 00:22:58,0.3052,0.6104,0.4883
-O3hDAurKfNP58T6jbbB,2024-08-08 00:22:59,0.4272,1.0376,1.0986
-O3hDAxSAEqkTw42Rr9d,2024-08-08 00:22:59,0.7324,1.4038,1.4038
-O3hDB-55_KOvf-2V7H5,2024-08-08 00:22:59,0.1221,1.6479,1.5259
-O3hDB1cefgd-5NmlNlb,2024-08-08 00:22:59,0.3052,0.7935,0.8545
-O3hDB42QQAKvAjNXXWd,2024-08-08 00:22:59,0.4883,0.1831,0.061
-O3hDB6buUluYdavaonl,2024-08-08 00:22:59,0,-0.2441,-0.4272
-O3hDB8yMAPlorK3v3JX,2024-08-08 00:23:00,0.1221,-0.4883,-0.1831
-O3hDBBQ9UTMGmSdqqI0,2024-08-08 00:23:00,0.4883,0,0.4272
-O3hDBDpAvwALjLmzNqg,2024-08-08 00:23:00,0.061,0.7324,0.8545
-O3hDBGs772gt78WT5z7,2024-08-08 00:23:00,0.3662,1.4648,1.3428
-O3hDBJdFPkbQnADyVTF,2024-08-08 00:23:00,0.5493,1.6479,1.4648
-O3hDBLu-RM8JYr5bk5H,2024-08-08 00:23:00,0.1831,1.4038,1.1597
-O3hDBOJc8fECK_RFeNF,2024-08-08 00:23:01,0.3662,0.7324,0.5493
-O3hDBR9sM-GejTTqzbp,2024-08-08 00:23:01,0.3052,0,-0.061
-O3hDBTz1kFP1B9CnY8I,2024-08-08 00:23:01,0.061,-0.3662,-0.3052
-O3hDBWZ1XpDaZpYsN7R,2024-08-08 00:23:01,0.4272,-0.2441,-0.1221
-O3hDBZGTCevd5IG9Nkt,2024-08-08 00:23:01,0.3662,0.2441,0.3662
-O3hDBaoLPDEaEK9-jc6,2024-08-08 00:23:01,0.1831,0.7935,0.9155
-O3hDBdUwcduUkVBWKqP,2024-08-08 00:23:02,0.4883,1.4648,1.2207
-O3hDBfkD5QLwc3WF6QP,2024-08-08 00:23:02,0.3052,1.4038,1.4038
-O3hDBiBco5SeKfM_iwW,2024-08-08 00:23:02,0.2441,0.9766,0.8545
-O3hDBkdgwktfkheGeVc,2024-08-08 00:23:02,0.3662,0.4272,0.3662
-O3hDBn0LpOJaRinOeiV,2024-08-08 00:23:02,0.1831,-0.3052,0
-O3hDBpbbF4nXx1Y2Pib,2024-08-08 00:23:02,0.2441,-0.6104,-0.061
-O3hDBs-vf6JTP5JTAhM,2024-08-08 00:23:02,0.2441,0.061,0.061
-O3hDBuCGxABlqyrzRBv,2024-08-08 00:23:03,0.3052,0.6714,0.9155
-O3hDBwfemP9KU3aj5bg,2024-08-08 00:23:03,0.4272,1.0986,1.0376
-O3hDBz9MMg4r4sAhWOR,2024-08-08 00:23:03,0.3662,1.5869,1.0376
-O3hDC0aY5x6dnAE_RY-,2024-08-08 00:23:03,0.3662,1.5869,1.2207
-O3hDC2xS_eJMo4608pY,2024-08-08 00:23:03,0.3662,0.8545,0.6714
-O3hDC5LXxwPWbSVlRbq,2024-08-08 00:23:03,0.2441,0.3662,0.3662
-O3hDC7t_zAVJKL_nhDg,2024-08-08 00:23:04,0.2441,-0.6104,0.1831
-O3hDCAMdW3Mek7ZYes8,2024-08-08 00:23:04,0.3052,-0.3662,0.1221
-O3hDCCnW_3_fxrVQimx,2024-08-08 00:23:04,0.3052,0.1221,0.1221
-O3hDCFGuFcgapnmxFIK,2024-08-08 00:23:04,0.2441,0.9155,0.6714
-O3hDCHSOhmDjEkESlHM,2024-08-08 00:23:04,0.3662,1.1597,1.0986
-O3hDCKAx92SrvyQCfz9,2024-08-08 00:23:04,0.4272,1.5259,1.1597
-O3hDCN-OhCZwYNgiR8S,2024-08-08 00:23:05,0.3662,0.9155,1.0376
-O3hDCPMM8O2uutoN9QG,2024-08-08 00:23:05,0.2441,0.4883,0.6104
-O3hDCSX58_4guS0vd-2,2024-08-08 00:23:05,0.3662,-0.061,0.1831
-O3hDCVGof_iVCtMweH3,2024-08-08 00:23:05,0.1831,-0.3052,-0.2441
-O3hDCXYUAVNjhD1ipGE,2024-08-08 00:23:05,0.1831,0,-0.061
-O3hDC_-Aj0cWGs7W5mL,2024-08-08 00:23:05,0.5493,0.4883,0.3662
-O3hDCbWInvSjI0-36Z9,2024-08-08 00:23:06,0.2441,1.0376,0.9155
-O3hDCdtygiUUHhEPjpC,2024-08-08 00:23:06,0.4883,1.2817,1.1597
-O3hDCgOD-Rh9wRUChLa,2024-08-08 00:23:06,0.4883,1.1597,1.3428
-O3hDCja10eYCiWXIFY8,2024-08-08 00:23:06,0.1831,0.6714,1.0376
-O3hDCmBSzLgjcUPbaqH,2024-08-08 00:23:06,0.2441,0.3662,0.3662
-O3hDCojQnh5r-ojwsN3,2024-08-08 00:23:06,0.3052,-0.061,-0.2441
-O3hDCr-rxGTHN_NdEVB,2024-08-08 00:23:07,0.1831,0.3052,-0.4272
-O3hDCtNt6lyan88mSDR,2024-08-08 00:23:07,0.3052,0.3662,0.1221
-O3hDCvdlrNOYqz6o5oM,2024-08-08 00:23:07,0.3662,0.3662,0.4272
-O3hDCyDQvn_QzqM_eap,2024-08-08 00:23:07,0.3052,1.5869,0.7324
-O3hDD-WZXabCs2nP0eZ,2024-08-08 00:23:07,0.5493,0.7324,1.2817
-O3hDD1zVIXnvpyRRqDa,2024-08-08 00:23:07,0.2441,1.0376,0.7935
-O3hDD4YJjmHZj1IbPLY,2024-08-08 00:23:07,0.3662,0.7935,0
-O3hDD6tSacKlB_nRXT9,2024-08-08 00:23:08,0.3662,-0.061,0.3052
-O3hDD97PfQXEXUaXrr7,2024-08-08 00:23:08,-0.1221,0.061,0.1221
-O3hDDBYLAj2p9LkC8Pi,2024-08-08 00:23:08,0.4883,-0.1831,0.1221
-O3hDDELljan4oJLDxS5,2024-08-08 00:23:08,0.3052,0.5493,0.7324
-O3hDDGnkPjhQc7Bi-Wo,2024-08-08 00:23:08,0.2441,0.7324,0.9155
-O3hDDJBTMznwr3dGVcb,2024-08-08 00:23:08,0.5493,1.0986,1.0376
-O3hDDLQngV1QOPSAGRF,2024-08-08 00:23:09,0.3662,0.8545,1.0986
-O3hDDNj7NrhHXMQunc7,2024-08-08 00:23:09,0.3052,0.6714,0.6104
-O3hDDQI_wdxfO2lIYKC,2024-08-08 00:23:09,0.4272,0.4272,0.1831
-O3hDDSfFiMxS9gDL3vx,2024-08-08 00:23:09,0.1221,0,0.061
-O3hDDV2OiPV9HeFeAlj,2024-08-08 00:23:09,0.3052,-0.1221,0.3052
-O3hDDXO0xjqJhYTLxtQ,2024-08-08 00:23:09,0.5493,0.1831,0.1831
-O3hDDZrwQJvXMcMRzai,2024-08-08 00:23:09,0.1831,0.7324,0.5493
-O3hDDbjnPrGvdUKOl1c,2024-08-08 00:23:10,0.3662,0.7935,0.9155
-O3hDDdvvaCzdW_WA9h7,2024-08-08 00:23:10,0.4883,0.9766,1.2817
-O3hDDgRM6lWN_uf95It,2024-08-08 00:23:10,0.2441,0.8545,0.7324
-O3hDDirMpzjFtWlaoHj,2024-08-08 00:23:10,0.3052,0.6104,0.4272
-O3hDDlBifRLn2VyIDVJ,2024-08-08 00:23:10,0.3052,0.1221,0.5493
-O3hDDnUjA6a4yWzAIK6,2024-08-08 00:23:10,0.4272,0.1221,0.5493
-O3hDDq-_YuXT9cj9Qz4,2024-08-08 00:23:11,0.061,0.1221,0.2441
-O3hDDsUB_xSab42PcHh,2024-08-08 00:23:11,0.4272,0.5493,0.1831
-O3hDDuwQkR7U6rFO3RE,2024-08-08 00:23:11,0.3052,0.6714,0.6104
-O3hDDx1hTxTAog_VJNm,2024-08-08 00:23:11,0.3662,1.1597,0.7324
-O3hDDzGhpWigiGy9h5t,2024-08-08 00:23:11,0.3662,0.7935,0.9155
-O3hDE0PzINR_VAo4F07,2024-08-08 00:23:11,0.2441,0.9766,0.9766
-O3hDE2j8WH_j-2U-_cd,2024-08-08 00:23:11,0.3052,0.4883,0.4883
-O3hDE4vOf0eJ-GowC_K,2024-08-08 00:23:12,0.1831,0.3052,0.1831
-O3hDE7P_QA1KkG40bg0,2024-08-08 00:23:12,0.3052,0,0.1831
-O3hDE9_Ua8CwMcgKOaN,2024-08-08 00:23:12,0.1831,0.1831,0.4883
-O3hDEC4HxILil-dKH1b,2024-08-08 00:23:12,0.4272,0.3052,0.6104
-O3hDEESiQCvDHOypOom,2024-08-08 00:23:12,0.4272,0.7935,0.8545
-O3hDEGsN4MDcLppL88D,2024-08-08 00:23:12,0.3662,1.0986,0.9155
-O3hDEJGpZxHARjBPz9W,2024-08-08 00:23:12,0.4272,1.0986,0.4883
-O3hDELZMytDfFob6pLo,2024-08-08 00:23:13,0,0.7935,0.6104
-O3hDENj-L5zmUo-uRJd,2024-08-08 00:23:13,0.5493,0.3052,0.5493
-O3hDEQ0Nr6yMbElz_AL,2024-08-08 00:23:13,0.3052,-0.1221,0.4883
-O3hDESFs3X6Dv5EQkL4,2024-08-08 00:23:13,0.1831,0.061,0
-O3hDEUjbAGH4jJNX-yM,2024-08-08 00:23:13,0.3662,0.4883,0.1221
-O3hDEWs7VZITo4UM6ys,2024-08-08 00:23:13,0.1831,0.8545,0.6104
-O3hDEZbG2gPEyJss7hb,2024-08-08 00:23:14,0.3662,0.7935,0.5493
-O3hDEaf9UeQlpwXw1w5,2024-08-08 00:23:14,0.2441,0.8545,1.6479
-O3hDEd3N6TEdT8ZBeW-,2024-08-08 00:23:14,0.6104,-0.1831,0.7324
-O3hDEfKrTa-DqZG1I9O,2024-08-08 00:23:14,0.061,0.6714,0.9766
-O3hDElQqYL6qOwXNQGT,2024-08-08 00:23:14,0.2441,-0.4883,0.7324
-O3hDEnjO15DqrZHPHzv,2024-08-08 00:23:15,0.3662,0,0
-O3hDEpogo4gL6T8FdTa,2024-08-08 00:23:15,0.1831,0.3662,0.1831
-O3hDErwG9kp4CwzN1uA,2024-08-08 00:23:15,0.3052,0.9155,0.4272
-O3hDEu6gnFwUyBhZYWU,2024-08-08 00:23:15,0.4272,0.7935,1.6479
-O3hDEw5YGqZahu3__4l,2024-08-08 00:23:15,0.3052,0.7935,1.2817
-O3hDEyLvDg5vHMk5vTZ,2024-08-08 00:23:15,0.1831,1.2817,0.6714
-O3hDF-SzmImLD8EjLo7,2024-08-08 00:23:15,0.3662,0.9766,0.6714
-O3hDF1QSIt_ttfE-Knb,2024-08-08 00:23:15,0.2441,0.3662,0.6104
-O3hDF3dBnHJpcIC8lXE,2024-08-08 00:23:16,0.3052,0.061,0.3662
-O3hDF5sdEPxzasvbIsG,2024-08-08 00:23:16,0.3662,-0.061,0.5493
-O3hDF807gfm9ViuLmpz,2024-08-08 00:23:16,0.3662,0.3052,0.3052
-O3hDFABqQJtHQADW7Hq,2024-08-08 00:23:16,0.1221,0.7935,0.4272
-O3hDFCMLmwmNQ-X8hUy,2024-08-08 00:23:16,0.3662,0.9766,0.6714
-O3hDFEPZuqkFSrORuzu,2024-08-08 00:23:16,0.4883,0.9155,0.8545
-O3hDFGuvJLWnbOOOmMG,2024-08-08 00:23:16,0.2441,0.7935,0.9155
-O3hDFJ7AIvUEkdY2c2n,2024-08-08 00:23:17,0.5493,0.4883,0.7324
-O3hDFLFr6oAwzsk3lAd,2024-08-08 00:23:17,0.1831,0.3662,0.4883
-O3hDFNR8ZBHyMd2xq3O,2024-08-08 00:23:17,-0.061,-0.061,0.3052
-O3hDFPqXinF7XV8nCRf,2024-08-08 00:23:17,0.7324,0.1221,0.3662
-O3hDFRy1TBxbIM6xo_k,2024-08-08 00:23:17,0.2441,0.3052,0.4272
-O3hDFU5agyU_0AwiPOU,2024-08-08 00:23:17,0.1221,0.6714,0.5493
-O3hDFWNtuNNI1JUV9Bo,2024-08-08 00:23:17,0.6104,0.7935,0.9155
-O3hDFYWGDOPxOcWbsz-,2024-08-08 00:23:18,0.3052,0.9766,0.9155
-O3hDF_uYGECjIDCmjzB,2024-08-08 00:23:18,0.1831,0.8545,0.6104
-O3hDFc8zi5faMJy_YXq,2024-08-08 00:23:18,0.4883,0.5493,0.4883
-O3hDFeLaPdSkzkxBFmk,2024-08-08 00:23:18,0.1831,0.1831,0.4883
-O3hDFgXO3vO97b7MQ-v,2024-08-08 00:23:18,0.1831,0.061,0.3662
-O3hDFiimk_YBhFl6wTM,2024-08-08 00:23:18,0.4883,0.1831,0.4272
-O3hDFl-1jcVW2bAqMUi,2024-08-08 00:23:18,0.1831,0.4883,0.5493
-O3hDFnBfsPXtFstkJcV,2024-08-08 00:23:19,0.3052,0.8545,0.6714
-O3hDFpSwgy6b8Vly8vz,2024-08-08 00:23:19,0.4272,0.9155,0.8545
-O3hDFrainUeHPfyPTVA,2024-08-08 00:23:19,0.3052,0.7935,0.7324
-O3hDFtrmxFlvRv307BU,2024-08-08 00:23:19,0.3662,0.6714,0.6714
-O3hDFw43Q-9p2OtpT2J,2024-08-08 00:23:19,0.4272,0.4272,0.4883
-O3hDFyHJ4OhEMwwk_PI,2024-08-08 00:23:19,0.3662,0.3052,0.3052
-O3hDG-WfJkeIiP2Retx,2024-08-08 00:23:19,0.1831,0.3662,0.1831
-O3hDG1lHi6t2O8ItR63,2024-08-08 00:23:20,0.1221,0.6104,0.3052
-O3hDG4-14y9Jye9Xm1R,2024-08-08 00:23:20,0.4883,0.6714,0.6104
-O3hDG6GHZevDJBOb51R,2024-08-08 00:23:20,0.3662,0.6104,0.9155
-O3hDG8aUjZ25t_2XTHO,2024-08-08 00:23:20,0.2441,0.6104,0.9155
-O3hDGAp8NmfHnJLZSKk,2024-08-08 00:23:20,0.6714,0.5493,0.8545
-O3hDGD4Uc3PiEcZePk2,2024-08-08 00:23:20,0.1831,0.5493,0.4272
-O3hDGFE2xBXQhNtFKKq,2024-08-08 00:23:20,0,0.5493,0.1831
-O3hDGHUxXaRKTBeEFDA,2024-08-08 00:23:21,0.4883,0.4272,0.3052
-O3hDGJgCXh6zGbY-ovI,2024-08-08 00:23:21,0.1831,0.4272,0.4272
-O3hDGLuoVsuSQdgBOdl,2024-08-08 00:23:21,0.1221,0.3662,0.6714
-O3hDGO16L_Zk6ZLKusc,2024-08-08 00:23:21,0.6714,0.4883,0.7935
-O3hDGQ6OxK6iWmPY4sI,2024-08-08 00:23:21,0.3052,0.6104,0.7324
-O3hDGS6_R4oOEyqJ3BW,2024-08-08 00:23:21,0.3052,0.6714,0.5493
-O3hDGUIe3fFEDHsoifv,2024-08-08 00:23:21,0.1831,0.6714,0.3662
-O3hDGW_exRnoVmFjNVz,2024-08-08 00:23:22,0.1221,0.6714,0.3662
-O3hDGYnwrMFymYs23Me,2024-08-08 00:23:22,0.4883,0.4883,0.5493
-O3hDGa0TosrDaLE0GfK,2024-08-08 00:23:22,0.6104,0.1831,0.7935
-O3hDGcBQ_zdB3HPLjGJ,2024-08-08 00:23:22,0,0.1831,0.7935
