id,timestamp,x,y,z
-O3cCJJCXUTaZkOSasy8,2024-08-07 01:01:05,0.8545,0.3052,0.1221
-O3cCJLnLjXRMAnfd9yO,2024-08-07 01:01:05,0.7935,0.2441,0.061
-O3cCJO5HFrafcT7pDLI,2024-08-07 01:01:05,0.6714,0.2441,0.1221
-O3cCJQXESJq9fLT5eqH,2024-08-07 01:01:05,0.3662,0.3052,0.4272
-O3cCJSuLx1sdLFay6Xs,2024-08-07 01:01:05,0.3052,0.3662,0.4883
-O3cCJVCAtoFGBRbuVQN,2024-08-07 01:01:06,0.1831,0.3662,0.5493
-O3cCJXaImdiWWfnM4ZR,2024-08-07 01:01:06,-0.061,0.3052,0.4883
-O3cCJZrGrzdhA5vbMJT,2024-08-07 01:01:06,-0.1221,0.3052,0.4883
-O3cCJb0Cj-VHiZKHan5,2024-08-07 01:01:06,-0.2441,0.3052,0.4272
-O3cCJdNEmd1ZQrY7g0b,2024-08-07 01:01:06,-0.3662,0.1831,0.4883
-O3cCJfe7MEQMMHowKpk,2024-08-07 01:01:06,-0.4272,0.061,0.4883
-O3cCJhuRjZ9UsbmUHc1,2024-08-07 01:01:06,-0.4272,0.061,0.4883
-O3cCJkE8Goasy4e8uHk,2024-08-07 01:01:07,-0.4883,0.1221,0.4883
-O3cCJmhozVdqSjpKWoX,2024-08-07 01:01:07,-0.4272,0.2441,0.5493
-O3cCJowAexzp0JuYO6b,2024-08-07 01:01:07,-0.4272,0.3052,0.7324
-O3cCJrWvFpVHIuQHBnh,2024-08-07 01:01:07,-0.3662,0.3662,0.9155
-O3cCJti0EbmqeNy_E19,2024-08-07 01:01:07,-0.3052,0.3662,0.9155
-O3cCJw5kotxj7OrSb2z,2024-08-07 01:01:07,-0.1831,0.4272,0.9766
-O3cCJyGGnaP_CIZb8va,2024-08-07 01:01:07,0.061,0.1831,0.9766
-O3cCK-jFh4heTTRkbLp,2024-08-07 01:01:08,0.1831,0.061,0.9155
-O3cCK1xfMRB2sUjq0V-,2024-08-07 01:01:08,0.3662,-0.1221,0.9155
-O3cCK4JJx4Z2ZBYTlej,2024-08-07 01:01:08,0.6104,0,1.0986
-O3cCK6Y50cnEiydHDoD,2024-08-07 01:01:08,0.7324,0.1221,1.1597
-O3cCK8kOT9-sYTgKnaJ,2024-08-07 01:01:08,0.7935,0.3052,1.2207
-O3cCKB4E2ZPUf0r7-LK,2024-08-07 01:01:08,0.9155,0.5493,1.2817
-O3cCKDHwTlD9annJzWg,2024-08-07 01:01:09,0.9155,0.4883,1.2817
-O3cCKFbVWwnThmgGbJi,2024-08-07 01:01:09,1.0376,0.3662,1.2207
-O3cCKHlv4mjjw7lq1v8,2024-08-07 01:01:09,1.0376,0.2441,1.2207
-O3cCKJxhYZZ9caZmXSU,2024-08-07 01:01:09,0.9766,0.2441,1.2207
-O3cCKM7i-9FqYldR6cT,2024-08-07 01:01:09,0.8545,0.4272,1.2817
-O3cCKOHmQUujxhFvT9A,2024-08-07 01:01:09,0.6714,0.6714,1.2207
-O3cCKQOEnWstKo86EUE,2024-08-07 01:01:09,0.5493,0.6714,1.1597
-O3cCKSifizpBRhsLrF-,2024-08-07 01:01:10,0.4883,0.5493,1.1597
-O3cCKUrBAqlbjAL9Cuq,2024-08-07 01:01:10,0.3052,0.5493,1.0986
-O3cCKWzFBAoH57pU-Ky,2024-08-07 01:01:10,0.1831,0.6714,1.0986
-O3cCKYyWlASx-7NM6L5,2024-08-07 01:01:10,0.061,0.7324,1.0376
-O3cCKaFPXXQs9vPhExS,2024-08-07 01:01:10,0,0.7935,0.7324
-O3cCKcj3hjvoH6WXBfl,2024-08-07 01:01:10,0,0.8545,0.6104
-O3cCKewWYmw-bibvT_b,2024-08-07 01:01:10,-0.061,0.8545,0.5493
-O3cCKh6Ln5mpjtKvx6f,2024-08-07 01:01:10,-0.061,0.9155,0.6104
-O3cCKj_YGiSEU8L970s,2024-08-07 01:01:11,-0.1221,0.9155,0.6714
-O3cCKllXOJVEmnFTuiO,2024-08-07 01:01:11,-0.061,0.8545,0.6714
-O3cCKoGo5N9SK4AQ1Mg,2024-08-07 01:01:11,-0.061,0.8545,0.6714
-O3cCKqNRq6sEYBD93rO,2024-08-07 01:01:11,-0.061,0.8545,0.7935
-O3cCKsb6JGbx0R7sj0v,2024-08-07 01:01:11,-0.061,0.7935,0.8545
-O3cCKuiWS7z4XwNWDhk,2024-08-07 01:01:11,0.061,0.4883,0.9766
-O3cCKwslPvQ1oILz68Z,2024-08-07 01:01:12,0.1831,0.3662,0.8545
-O3cCKzCUEMCQKGPQ-EH,2024-08-07 01:01:12,0.2441,0.3662,0.6714
-O3cCL0KGmIUa_7EHJO1,2024-08-07 01:01:12,0.3052,0.4272,0.3052
-O3cCL2PC1WFW5bXQX2a,2024-08-07 01:01:12,0.2441,0.4883,0.2441
-O3cCL4anQ6BGXvQGSmT,2024-08-07 01:01:12,0.1221,0.4272,0.3052
-O3cCL6s-7mhOy-I3yst,2024-08-07 01:01:12,-0.1831,0.3052,0.6714
-O3cCL8yuysy_J3jVjXs,2024-08-07 01:01:12,-0.2441,0.3052,0.7935
-O3cCLB9sl1DUHL_O9AW,2024-08-07 01:01:12,-0.3662,0.4272,0.8545
-O3cCLDICpn9pQK8jjnI,2024-08-07 01:01:13,-0.3662,0.7324,0.6104
-O3cCLFR6CdIdFtrNBsd,2024-08-07 01:01:13,-0.3662,0.9155,0.4272
-O3cCLHaf1DVausXkLQu,2024-08-07 01:01:13,-0.3052,0.9155,0.3052
-O3cCLJyWui7r9BsujFc,2024-08-07 01:01:13,-0.1831,1.0376,0.1831
-O3cCLMBJJVmG9oKCyNs,2024-08-07 01:01:13,-0.1221,1.1597,0.1831
-O3cCLOueuQFghckTYuk,2024-08-07 01:01:13,-0.1221,1.1597,0.2441
-O3cCLR7LRnbwb-4FRCO,2024-08-07 01:01:13,0.061,1.0376,0.4272
-O3cCLTNRKJds67MgKh-,2024-08-07 01:01:14,0.1831,0.9155,0.5493
-O3cCLVatmaO6nehz8Hb,2024-08-07 01:01:14,0.2441,0.7935,0.6104
-O3cCLYKSh_Ji81hzTRX,2024-08-07 01:01:14,0.4883,0.7324,0.7324
